"timestamp","source","user_or_service","asset","severity","kill_chain_stage","scenario","status","alert_id","title","description","confidence","detection_rule","assigned_to","created_at","updated_at","incident_id","platform","environment","telemetry_type"
"2026-04-08T12:31:00Z","AWS CloudTrail","aws-ci-user","prod-aws-account","HIGH","Discovery","aws_iam_key_misuse","New","ALT-1003","ListUsers","ListUsers on arn:aws:iam::111122223333:user/aws-ci-user via iam result=success","0.88","iam_listusers","","2026-04-08T12:31:00Z","2026-04-08T12:31:00Z","INC-2002","AWS","prod","cloud_control_plane"
"2026-04-08T12:33:00Z","AWS CloudTrail","aws-ci-user","prod-aws-account","HIGH","Discovery","aws_iam_key_misuse","New","ALT-1003","GetAccountAuthorizationDetails","GetAccountAuthorizationDetails on arn:aws:iam::111122223333:root via iam result=success","0.88","iam_getaccountauthorizationdetails","","2026-04-08T12:33:00Z","2026-04-08T12:33:00Z","INC-2002","AWS","prod","cloud_control_plane"
"2026-04-08T12:39:00Z","AWS CloudTrail","aws-ci-user","prod-aws-account","HIGH","Privilege Escalation","aws_iam_key_misuse","New","ALT-1003","AttachUserPolicy","AttachUserPolicy on arn:aws:iam::111122223333:user/aws-ci-user via iam result=success","0.88","iam_attachuserpolicy","","2026-04-08T12:39:00Z","2026-04-08T12:39:00Z","INC-2002","AWS","prod","cloud_control_plane"
"2026-04-08T15:01:00Z","EKS Audit","payments-api-sa","eks-prod-cluster","CRITICAL","Execution","eks_secret_access_chain","Escalated","ALT-1004","create_token","create_token on system:serviceaccount:payments:payments-api-sa via eks result=success","0.88","eks_create_token","","2026-04-08T15:01:00Z","2026-04-08T15:01:00Z","INC-2003","AWS","prod","kubernetes_audit"
"2026-04-08T15:04:00Z","AWS CloudTrail","payments-api-sa","eks-prod-cluster","CRITICAL","Credential Access","eks_secret_access_chain","Escalated","ALT-1004","AssumeRoleWithWebIdentity","AssumeRoleWithWebIdentity on arn:aws:iam::111122223333:role/payments-irsa-role via sts result=success","0.88","sts_assumerolewithwebidentity","","2026-04-08T15:04:00Z","2026-04-08T15:04:00Z","INC-2003","AWS","prod","workload_identity"
"2026-04-08T15:05:00Z","AWS CloudTrail","payments-api-sa","payments-prod-secret","CRITICAL","Credential Access","eks_secret_access_chain","Escalated","ALT-1004","GetSecretValue","GetSecretValue on arn:aws:secretsmanager:us-east-1:111122223333:secret:payments/prod/db via secretsmanager result=success","0.88","secretsmanager_getsecretvalue","","2026-04-08T15:05:00Z","2026-04-08T15:05:00Z","INC-2003","AWS","prod","secrets_access"
"2026-04-08T15:06:00Z","AWS CloudTrail","payments-api-sa","payments-prod-kms-key","CRITICAL","Credential Access","eks_secret_access_chain","Escalated","ALT-1004","Decrypt","Decrypt on arn:aws:kms:us-east-1:111122223333:key/9f97-prod via kms result=success","0.88","kms_decrypt","","2026-04-08T15:06:00Z","2026-04-08T15:06:00Z","INC-2003","AWS","prod","kms_access"
"2026-04-09T10:28:00Z","AWS CloudTrail","svc-billing-export","billing-data-bucket","HIGH","Collection","s3_data_access_exfiltration","New","ALT-1006","ListBucket","ListBucket on arn:aws:s3:::billing-data-bucket via s3 result=success","0.88","s3_listbucket","","2026-04-09T10:28:00Z","2026-04-09T10:28:00Z","INC-2005","AWS","prod","object_storage_access"
"2026-04-09T10:31:00Z","AWS CloudTrail","svc-billing-export","billing-data-bucket","HIGH","Exfiltration","s3_data_access_exfiltration","New","ALT-1006","GetObject","GetObject on arn:aws:s3:::billing-data-bucket/2026/q2/customer-invoices.csv via s3 result=success","0.88","s3_getobject","","2026-04-09T10:31:00Z","2026-04-09T10:31:00Z","INC-2005","AWS","prod","object_storage_access"
"2026-04-09T10:33:00Z","AWS CloudTrail","svc-billing-export","billing-data-bucket","HIGH","Exfiltration","s3_data_access_exfiltration","New","ALT-1006","GetObject","GetObject on arn:aws:s3:::billing-data-bucket/2026/q2/payment-methods.csv via s3 result=success","0.88","s3_getobject","","2026-04-09T10:33:00Z","2026-04-09T10:33:00Z","INC-2005","AWS","prod","object_storage_access"
"2026-04-07T23:50:00Z","AWS CloudTrail","deploy-bot","prod-aws-account","MEDIUM","Discovery","aws_iam_key_misuse","Closed","ALT-0998","ListRoles","ListRoles on arn:aws:iam::111122223333:role/deploy-bot via iam result=success","0.88","iam_listroles","","2026-04-07T23:50:00Z","2026-04-07T23:50:00Z","INC-1999","AWS","prod","cloud_control_plane"
